CountyCode,County,Registered Voters
01,ADAMS COUNTY,12805
02,ASHLAND COUNTY,9770
03,BARRON COUNTY,27632
04,BAYFIELD COUNTY,11795
05,BROWN COUNTY,162076
06,BUFFALO COUNTY,8405
07,BURNETT COUNTY,10795
08,CALUMET COUNTY,33050
09,CHIPPEWA COUNTY,38859
10,CLARK COUNTY,16113
11,COLUMBIA COUNTY,36898
12,CRAWFORD COUNTY,9378
13,DANE COUNTY,390887
14,DODGE COUNTY,52433
15,DOOR COUNTY,21826
16,DOUGLAS COUNTY,27308
17,DUNN COUNTY,25969
18,EAU CLAIRE COUNTY,65337
19,FLORENCE COUNTY,3205
20,FOND DU LAC COUNTY,61390
21,FOREST COUNTY,5761
22,GRANT COUNTY,27685
23,GREEN COUNTY,23061
24,GREEN LAKE COUNTY,11524
25,IOWA COUNTY,15136
26,IRON COUNTY,4412
27,JACKSON COUNTY,11267
28,JEFFERSON COUNTY,52395
29,JUNEAU COUNTY,14567
30,KENOSHA COUNTY,100331
31,KEWAUNEE COUNTY,12926
32,LA CROSSE COUNTY,76830
33,LAFAYETTE COUNTY,9214
34,LANGLADE COUNTY,12200
35,LINCOLN COUNTY,18001
36,MANITOWOC COUNTY,48688
37,MARATHON COUNTY,84288
38,MARINETTE COUNTY,25527
39,MARQUETTE COUNTY,9579
40,MENOMINEE COUNTY,1789
41,MILWAUKEE COUNTY,557089
42,MONROE COUNTY,24565
43,OCONTO COUNTY,24759
44,ONEIDA COUNTY,26248
45,OUTAGAMIE COUNTY,118689
46,OZAUKEE COUNTY,66641
47,PEPIN COUNTY,4414
48,PIERCE COUNTY,25910
49,POLK COUNTY,28431
50,PORTAGE COUNTY,44977
51,PRICE COUNTY,9055
52,RACINE COUNTY,119988
53,RICHLAND COUNTY,9779
54,ROCK COUNTY,97177
55,RUSK COUNTY,8396
56,ST. CROIX COUNTY,61464
57,SAUK COUNTY,39544
58,SAWYER COUNTY,11623
59,SHAWANO COUNTY,24408
60,SHEBOYGAN COUNTY,72138
61,TAYLOR COUNTY,11294
62,TREMPEALEAU COUNTY,16714
63,VERNON COUNTY,17364
64,VILAS COUNTY,17003
65,WALWORTH COUNTY,63729
66,WASHBURN COUNTY,11278
67,WASHINGTON COUNTY,94481
68,WAUKESHA COUNTY,291183
69,WAUPACA COUNTY,31369
70,WAUSHARA COUNTY,14465
71,WINNEBAGO COUNTY,104233
72,WOOD COUNTY,45206
